Unit Type,Nameplate,EFORd
FOSSIL  All Fuel Types,All Sizes,9.1
FOSSIL  All Fuel Types,001-099,9.08
FOSSIL  All Fuel Types,100-199,8.44
FOSSIL  All Fuel Types,200-299,9.55
FOSSIL  All Fuel Types,300-399,9.01
FOSSIL  All Fuel Types,400-599,10.7
FOSSIL  All Fuel Types,600-799,8.38
FOSSIL  All Fuel Types,800-999,7.15
FOSSIL  All Fuel Types,1000 Plus,10.12
FOSSIL  Coal Primary,All Sizes,8.66
FOSSIL  Coal Primary,001-099,8.36
FOSSIL  Coal Primary,100-199,8.34
FOSSIL  Coal Primary,200-299,9.8
FOSSIL  Coal Primary,300-399,9.48
FOSSIL  Coal Primary,400-599,9.46
FOSSIL  Coal Primary,600-799,7.51
FOSSIL  Coal Primary,800-999,7.86
FOSSIL  Coal Primary,1000 Plus,9.34
FOSSIL  Oil Primary,All Sizes,9.99
FOSSIL  Oil Primary,001-099,9.58
FOSSIL  Oil Primary,100-199,17.82
FOSSIL  Oil Primary,200-299,9.99
FOSSIL  Oil Primary,300-399,7.34
FOSSIL  Oil Primary,400-599,24.21
FOSSIL  Oil Primary,600-799,8.82
FOSSIL  Oil Primary,800-999,8.01
NUCLEAR PWR,All Sizes,1.88
NUCLEAR PWR,400-799,2.43
NUCLEAR PWR,800-999,1.62
NUCLEAR PWR,1000 Plus,1.99
GAS TURBINE,All Sizes,10.6
GAS TURBINE,001-019,17.5
GAS TURBINE,020-049,10.92
GAS TURBINE,50 Plus,9.4
COMBINED CYCLE,All Sizes,3.81
HYDRO,All Sizes,7.73
HYDRO,001-029,14.07
HYDRO,30 Plus,3.95
